GlobalId,IFC_Class,Name,ObjectType,Tag,Primary_Material,Property_Count
2Fkk$UdsvCNBXUF0mtQqMx,IfcBeam,Z25024,ZZ254-2.4-21-74-21-79,ID8fbaefde-9f6e-4c5c-b85e-3c0c376b45bb,STEEL/SS400,17
2Ot9h22orD3er1v2I$_WL3,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
3Hc1upOn5BHuTW1jxTdhOe,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
1R3ntV2JLEzeYzx5nCSAV_,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
11mFtorB54PehxRIhXrJdt,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
1$1SfOzwLA8wubeBvxeK3y,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
3mDB9pEFXDegNblpf2Ub7u,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
3O13IfoZv2VgO6fAf8M4Ws,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
0_JtxYAvr4Sufn6v1Cz82H,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
15zeHHhaP7HPGDQ6P2ZWYU,IfcBeam,BEAM,H-300X300X10X15,B-0(?),STEEL/SS400,17
3$vS5yHlj1SAV2dUsWB6kL,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
1ZPLK9Vsv8mPztwJFtmqO6,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
2bIl8rGIjACuwKnZnuDVHL,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
0OcQ2OXDfCJghNWJaFJEDE,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
0i_yf919X6lhNKpsX6oO3U,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
2grHByJRv7JxBcJNdHUC7j,IfcBeam,ANCHOR ROD,D16,z-0(?),STEEL/SS400,17
0Rh_MglljEgReF$AcrS8wn,IfcBeam,BACKINGBAR,PL9x25,ID1bafe5aa-befb-4ea9-ba0f-fca9b5708eb1,STEEL/SS400,17
1blZJsHk59zg$D_tRzj0aD,IfcBeam,BACKINGBAR,PL9x25,ID65be34f6-46e1-49f6-afcd-fb76fdb4090d,STEEL/SS400,17
0$G2ichtX2GR4jBQ$sJ0tZ,IfcBeam,BACKINGBAR,PL9x25,ID3f402b26-af78-4241-b12d-2daff64c0de3,STEEL/SS400,17
09fEMTt99FrgJwDdyuesBI,IfcBeam,BACKINGBAR,PL9x25,ID09a4e59d-dc92-4fd6-a4fa-367f38a362d2,STEEL/SS400,17
3Dx05aTibFYBkMdDQE9Fas,IfcBeam,BACKINGBAR,PL9x25,IDcdec0164-76c9-4f88-bb96-9cd68e24f936,STEEL/SS400,17
3YIjusIgPCzALhMTbRNHII,IfcBeam,BACKINGBAR,PL9x25,IDe24ade36-4aa6-4cf4-a56b-59d95b5d1492,STEEL/SS400,17
01j4cFXqn8fvRDjb37zQj3,IfcBeam,BACKINGBAR,PL9x25,ID01b4498f-874c-48a7-96cd-b650c7f5ab43,STEEL/SS400,17
1nqwIku3fDk80Fz_u1xAr4,IfcBeam,BACKINGBAR,PL9x25,ID71d3a4ae-e03a-4db8-800f-f7ee01ecad44,STEEL/SS400,17
17wCAK1HH7GvvTjGm0wYNl,IfcBeam,BACKINGBAR,PL9x25,ID47e8c294-0514-4743-9e5d-b50c00ea25ef,STEEL/SS400,17
1E4N10Dmj6ogAbD$KXcO$P,IfcBeam,BACKINGBAR,PL9x25,ID4e117040-370b-46ca-a2a5-37f521998fd9,STEEL/SS400,17
2ltiBMvIr8GwYjfI7L8I_i,IfcBeam,BACKINGBAR,PL9x25,IDafdec2d6-e52d-4843-a8ad-a521d5212fac,STEEL/SS400,17
